"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10853","Deve_Fazer_Download_Minuta","","Thu Aug 07 15:53:34 BRT 2025","passed","Thu Aug 07 15:53:45 BRT 2025","","PortalIDSFTestes.testes.notaComercial.NotaComercialTest","PortalIDSFTestes.testes.notaComercial.NotaComercialTest",""
"","7479","Nao_Deve_Conter_Acentos_Quebrados","","Thu Aug 07 15:52:35 BRT 2025","failed","Thu Aug 07 15:52:42 BRT 2025","","PortalIDSFTestes.testes.cedentes.CedentesTest","PortalIDSFTestes.testes.cedentes.CedentesTest",""
"","8010","Deve_Consultar_Cedente_Na_Tabela","","Thu Aug 07 15:53:10 BRT 2025","passed","Thu Aug 07 15:53:18 BRT 2025","","PortalIDSFTestes.testes.cedentes.CedentesTest","PortalIDSFTestes.testes.cedentes.CedentesTest",""
"","14225","Deve_Enviar_Uma_Operacao_CSV","","Thu Aug 07 15:54:08 BRT 2025","passed","Thu Aug 07 15:54:22 BRT 2025","","PortalIDSFTestes.testes.operacoes.OperacoesTest","PortalIDSFTestes.testes.operacoes.OperacoesTest",""
"","14306","Deve_Fazer_Download_Excel","","Thu Aug 07 15:53:54 BRT 2025","passed","Thu Aug 07 15:54:08 BRT 2025","","PortalIDSFTestes.testes.operacoes.OperacoesTest","PortalIDSFTestes.testes.operacoes.OperacoesTest",""
"","4172","Nao_Deve_Realizar_Login_Com_Senha_Invalida_Nivel_Denver","","Thu Aug 07 15:53:12 BRT 2025","passed","Thu Aug 07 15:53:16 BRT 2025","","PortalIDSFTestes.testes.login.LoginTest","PortalIDSFTestes.testes.login.LoginTest",""
"","7338","Deve_Consultar_Arquivo_Baixa","","Thu Aug 07 15:52:50 BRT 2025","passed","Thu Aug 07 15:52:58 BRT 2025","","PortalIDSFTestes.testes.operacoes.ArquivosBaixaTest","PortalIDSFTestes.testes.operacoes.ArquivosBaixaTest",""
"","10909","Deve_Fazer_Download_Excel","","Thu Aug 07 15:52:42 BRT 2025","passed","Thu Aug 07 15:52:53 BRT 2025","","PortalIDSFTestes.testes.cedentes.CedentesTest","PortalIDSFTestes.testes.cedentes.CedentesTest",""
"","6021","Deve_Realizar_Login_Com_Sucesso_Nivel_Denver","","Thu Aug 07 15:53:06 BRT 2025","passed","Thu Aug 07 15:53:12 BRT 2025","","PortalIDSFTestes.testes.login.LoginTest","PortalIDSFTestes.testes.login.LoginTest",""
"","8592","Deve_Fazer_Download_Relatorio_Movimentos","","Thu Aug 07 15:52:58 BRT 2025","passed","Thu Aug 07 15:53:06 BRT 2025","","PortalIDSFTestes.testes.operacoes.ArquivosBaixaTest","PortalIDSFTestes.testes.operacoes.ArquivosBaixaTest",""
"","5496","Deve_Realizar_Login_Com_Sucesso_Nivel_Consultoria","","Thu Aug 07 15:52:46 BRT 2025","passed","Thu Aug 07 15:52:52 BRT 2025","","PortalIDSFTestes.testes.login.LoginTest","PortalIDSFTestes.testes.login.LoginTest",""
"","18067","Deve_Enviar_Uma_Operacao_CNAB","","Thu Aug 07 15:52:43 BRT 2025","passed","Thu Aug 07 15:53:01 BRT 2025","","PortalIDSFTestes.testes.operacoes.OperacoesTest","PortalIDSFTestes.testes.operacoes.OperacoesTest",""
"","3986","Nao_Deve_Realizar_Login_Com_Senha_Invalida_Nivel_Gestora","","Thu Aug 07 15:53:02 BRT 2025","passed","Thu Aug 07 15:53:06 BRT 2025","","PortalIDSFTestes.testes.login.LoginTest","PortalIDSFTestes.testes.login.LoginTest",""
"","5919","Deve_Realizar_Login_Com_Sucesso_Nivel_Gestora","","Thu Aug 07 15:52:56 BRT 2025","passed","Thu Aug 07 15:53:02 BRT 2025","","PortalIDSFTestes.testes.login.LoginTest","PortalIDSFTestes.testes.login.LoginTest",""
