✅ Texto encontrado: Operação	Fundo	Tomador	Valor Principal	Valor Liquido	Custo da Emissão	Data de Início	Data de Vencimento	Status	Taxa	Ações
4998	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	07/01/2026	05/12/2026	Aberta	1,000000%	
4989	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	06/01/2026	05/12/2026	Cancelada!	1,000000%	
4988	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	06/01/2026	05/12/2026	Cancelada!	1,000000%	
4987	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	06/01/2026	05/12/2026	Cancelada!	1,000000%	
4986	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	06/01/2026	05/12/2026	Aberta	1,000000%	
4982	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	06/01/2026	05/12/2026	Cancelada!	1,000000%	
4973	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	06/01/2026	05/12/2026	Cancelada!	1,000000%	
4971	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
4970	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
4968	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
4967	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
4964	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
4957	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
4954	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	05/01/2026	05/11/2026	Cancelada!	1,000000%	
Vídeo anexado: PortalIDSFTestes_testes_notaComercial_NotaComercialTest_Deve_Consultar_Nota_Comercial_Pela_Tabela_Passed_20260107_150250.webm (1180102 bytes)
