✅ Texto encontrado: Operação	Fundo	Tomador	Valor Principal	Valor Liquido	Custo da Emissão	Data de Início	Data de Vencimento	Status	Taxa	Ações
5092	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	14/01/2026	05/12/2026	Aberta	1,000000%	
5091	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	14/01/2026	05/12/2026	Cancelada!	1,000000%	
5082	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5081	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5078	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5077	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5076	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5075	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5074	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5073	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5071	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5069	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5068	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	13/01/2026	05/12/2026	Cancelada!	1,000000%	
5063	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	12/01/2026	05/12/2026	Cancelada!	1,000000%	
Vídeo anexado: PortalIDSFTestes_testes_notaComercial_NotaComercialTest_Deve_Consultar_Nota_Comercial_Pela_Tabela_Passed_20260114_112600.webm (1033166 bytes)
