✅ Texto encontrado: Operação	Fundo	Tomador	Valor Principal	Valor Liquido	Custo da Emissão	Data de Início	Data de Vencimento	Status	Taxa	Ações
5132	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	16/01/2026	05/12/2026	Aberta	1,000000%	
5131	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	16/01/2026	05/12/2026	Cancelada!	1,000000%	
5130	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	16/01/2026	05/12/2026	Aberta	1,000000%	
5127	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	16/01/2026	05/12/2026	Cancelada!	1,000000%	
5116	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	15/01/2026	05/12/2026	Cancelada!	1,000000%	
5114	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	15/01/2026	05/12/2026	Cancelada!	1,000000%	
5112	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	15/01/2026	05/12/2026	Cancelada!	1,000000%	
5111	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	15/01/2026	05/12/2026	Cancelada!	1,000000%	
5109	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	15/01/2026	05/12/2026	Cancelada!	1,000000%	
5099	Zitec Tecnologia LTDA - 54.638.076/0001-76	Cedente Teste Zitec EDITADO - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	14/01/2026	05/12/2026	Cancelada!	1,000000%	
Vídeo anexado: PortalIDSFTestes_testes_notaComercial_NotaComercialTest_Deve_Consultar_Nota_Comercial_Pela_Tabela_Passed_20260116_150612.webm (1098481 bytes)
