✅ Texto encontrado: Operação	Fundo	Tomador	Valor Principal	Valor Liquido	Custo da Emissão	Data de Início	Data de Vencimento	Status	Taxa	Ações
4605	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	01/12/2025	05/10/2026	Aberta	1,000000%	
4604	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	01/12/2025	05/10/2026	Cancelada!	1,000000%	
4603	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	01/12/2025	05/10/2026	Cancelada!	1,000000%	
4590	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	01/12/2025	05/10/2026	Cancelada!	1,000000%	
4584	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	01/12/2025	05/10/2026	Cancelada!	1,000000%	
4565	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4564	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4563	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4558	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4557	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4556	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4555	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
4553	Zitec Tecnologia LTDA - 54.638.076/0001-76	CEDENTE TESTE - 90.400.888/0001-42	R$ 10.000,00	R$ 9.800,00	R$ 200,00	28/11/2025	05/10/2026	Cancelada!	1,000000%	
Vídeo anexado: PortalIDSFTestes_testes_notaComercial_NotaComercialTest_Deve_Consultar_Nota_Comercial_Pela_Tabela_Passed_20251201_185431.webm (779676 bytes)
